id,created_at,record_number,pdf_link,result_page,parent_page_num,num_pages
54,2025-03-19 00:43:18.140387+00,104-10069-10132,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10069-10132.pdf,5,5,4
55,2025-03-19 00:43:19.32194+00,104-10069-10260,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10069-10260.pdf,5,5,2
56,2025-03-19 00:43:19.35047+00,104-10069-10185,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10069-10185.pdf,5,5,5
57,2025-03-19 00:43:19.353469+00,104-10069-10359,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10069-10359.pdf,5,5,2
58,2025-03-19 00:43:20.642669+00,104-10070-10272,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10070-10272.pdf,5,5,6
59,2025-03-19 00:43:20.711228+00,104-10070-10079,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10070-10079.pdf,5,5,18
60,2025-03-19 00:43:20.773091+00,104-10070-10296,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10070-10296.pdf,5,5,44
62,2025-03-19 00:43:24.138392+00,104-10071-10239,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10071-10239.pdf,6,6,2
65,2025-03-19 00:43:25.405353+00,104-10071-10404,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10071-10404.pdf,6,6,2
68,2025-03-19 00:43:26.595615+00,104-10072-10034,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10072-10034.pdf,6,6,1
73,2025-03-19 00:43:30.332671+00,104-10073-10074,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10073-10074.pdf,7,7,3
76,2025-03-19 00:43:31.51957+00,104-10073-10113,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10073-10113.pdf,7,7,1
79,2025-03-19 00:43:32.740508+00,104-10074-10007,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10074-10007.pdf,7,7,4
81,2025-03-19 00:43:33.927133+00,104-10075-10099,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10075-10099.pdf,7,7,3
84,2025-03-19 00:43:36.293558+00,104-10075-10203,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10075-10203.pdf,8,8,2
87,2025-03-19 00:43:37.514027+00,104-10075-10365,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10075-10365.pdf,8,8,4
90,2025-03-19 00:43:38.720017+00,104-10076-10058,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10076-10058.pdf,8,8,1
61,2025-03-19 00:43:21.851478+00,104-10071-10060,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10071-10060.pdf,5,5,2
63,2025-03-19 00:43:24.176452+00,104-10071-10122,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10071-10122.pdf,6,6,7
66,2025-03-19 00:43:25.446488+00,104-10072-10001,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10072-10001.pdf,6,6,6
69,2025-03-19 00:43:26.644146+00,104-10072-10212,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10072-10212.pdf,6,6,1
71,2025-03-19 00:43:27.969745+00,104-10072-10228,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10072-10228.pdf,6,6,13
74,2025-03-19 00:43:30.348391+00,104-10072-10289,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10072-10289.pdf,7,7,10
77,2025-03-19 00:43:31.642604+00,104-10073-10133,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10073-10133.pdf,7,7,1
80,2025-03-19 00:43:32.847078+00,104-10075-10042,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10075-10042.pdf,7,7,1
82,2025-03-19 00:43:36.266979+00,104-10075-10200,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10075-10200.pdf,8,8,2
85,2025-03-19 00:43:37.461182+00,104-10075-10250,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10075-10250.pdf,8,8,1
88,2025-03-19 00:43:38.69384+00,104-10076-10000,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10076-10000.pdf,8,8,1
64,2025-03-19 00:43:24.177405+00,104-10071-10139,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10071-10139.pdf,6,6,3
67,2025-03-19 00:43:25.447611+00,104-10072-10013,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10072-10013.pdf,6,6,3
70,2025-03-19 00:43:26.659026+00,104-10072-10227,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10072-10227.pdf,6,6,10
72,2025-03-19 00:43:30.264858+00,104-10073-10061,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10073-10061.pdf,7,7,1
75,2025-03-19 00:43:31.509517+00,104-10073-10101,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10073-10101.pdf,7,7,18
78,2025-03-19 00:43:32.735974+00,104-10074-10413,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10074-10413.pdf,7,7,3
83,2025-03-19 00:43:36.288917+00,104-10075-10225,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10075-10225.pdf,8,8,3
86,2025-03-19 00:43:37.483614+00,104-10075-10232,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10075-10232.pdf,8,8,1
89,2025-03-19 00:43:38.707825+00,104-10075-10373,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10075-10373.pdf,8,8,4
91,2025-03-19 00:43:39.899756+00,104-10076-10116,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10076-10116.pdf,8,8,1
92,2025-03-19 00:43:42.199684+00,104-10076-10153,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10076-10153.pdf,9,9,1
93,2025-03-19 00:43:42.200906+00,104-10076-10217,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10076-10217.pdf,9,9,1
94,2025-03-19 00:43:42.237553+00,104-10076-10229,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10076-10229.pdf,9,9,2
95,2025-03-19 00:43:43.400186+00,104-10076-10295,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10076-10295.pdf,9,9,1
96,2025-03-19 00:43:43.445669+00,104-10076-10277,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10076-10277.pdf,9,9,2
97,2025-03-19 00:43:43.47525+00,104-10076-10371,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10076-10371.pdf,9,9,3
98,2025-03-19 00:43:44.666135+00,104-10076-10374,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10076-10374.pdf,9,9,1
99,2025-03-19 00:43:44.695742+00,104-10076-10375,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10076-10375.pdf,9,9,2
100,2025-03-19 00:43:44.697821+00,104-10076-10372,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10076-10372.pdf,9,9,3
101,2025-03-19 00:43:45.906542+00,104-10076-10400,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10076-10400.pdf,9,9,2
102,2025-03-19 00:43:48.18657+00,104-10077-10067,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10077-10067.pdf,10,10,1
103,2025-03-19 00:43:48.199403+00,104-10076-10416,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10076-10416.pdf,10,10,1
104,2025-03-19 00:43:48.218129+00,104-10076-10442,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10076-10442.pdf,10,10,3
105,2025-03-19 00:43:49.36028+00,104-10077-10087,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10077-10087.pdf,10,10,1
106,2025-03-19 00:43:49.377602+00,104-10077-10076,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10077-10076.pdf,10,10,1
107,2025-03-19 00:43:49.387644+00,104-10077-10112,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10077-10112.pdf,10,10,1
108,2025-03-19 00:43:50.572281+00,104-10077-10136,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10077-10136.pdf,10,10,1
109,2025-03-19 00:43:50.576453+00,104-10077-10266,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10077-10266.pdf,10,10,1
110,2025-03-19 00:43:50.619778+00,104-10077-10153,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10077-10153.pdf,10,10,6
111,2025-03-19 00:43:51.714514+00,104-10077-10285,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10077-10285.pdf,10,10,1
112,2025-03-19 00:43:53.964959+00,104-10077-10369,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10077-10369.pdf,11,11,1
113,2025-03-19 00:43:53.971073+00,104-10077-10296,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10077-10296.pdf,11,11,1
114,2025-03-19 00:43:53.972485+00,104-10077-10356,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10077-10356.pdf,11,11,1
115,2025-03-19 00:43:55.248632+00,104-10077-10382,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10077-10382.pdf,11,11,1
116,2025-03-19 00:43:55.259703+00,104-10078-10020,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10078-10020.pdf,11,11,1
117,2025-03-19 00:43:55.276159+00,104-10078-10014,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10078-10014.pdf,11,11,11
118,2025-03-19 00:43:56.420769+00,104-10079-10391,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10079-10391.pdf,11,11,3
119,2025-03-19 00:43:56.530776+00,104-10088-10070,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10088-10070.pdf,11,11,29
120,2025-03-19 00:43:56.581874+00,104-10087-10054,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10087-10054.pdf,11,11,19
121,2025-03-19 00:43:57.687823+00,104-10088-10074,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10088-10074.pdf,11,11,19
122,2025-03-19 00:43:59.935654+00,104-10092-10267,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10092-10267.pdf,12,12,1
123,2025-03-19 00:43:59.941834+00,104-10092-10202,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10092-10202.pdf,12,12,1
124,2025-03-19 00:43:59.954269+00,104-10092-10340,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10092-10340.pdf,12,12,2
125,2025-03-19 00:44:01.104389+00,104-10093-10010,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10093-10010.pdf,12,12,1
126,2025-03-19 00:44:01.128094+00,104-10093-10109,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10093-10109.pdf,12,12,2
127,2025-03-19 00:44:01.136758+00,104-10093-10065,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10093-10065.pdf,12,12,2
128,2025-03-19 00:44:02.292737+00,104-10093-10279,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10093-10279.pdf,12,12,1
129,2025-03-19 00:44:02.310845+00,104-10093-10266,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10093-10266.pdf,12,12,2
